NumFiles,MinPT,MinP,MinIPChi2,#Lambdas,#XiLambdas,#XiKaons,#XiPions,#Xis,#Pion,#Kaon,#Proton
10,50,1800,0.0,0.9913793103448276,0.8968253968253969,0.995943204868154,0.8643371017471737,0.7669172932330827,245884,39613,31106
10,50,800,0.0,0.9978448275862069,0.9027777777777778,1.0,0.9701952723535456,0.949874686716792,289331,43072,33860
10,50,1600,0.0,0.9935344827586208,0.8988095238095238,0.995943204868154,0.8869475847893115,0.8020050125313283,254566,40415,31659
10,50,1400,0.0,0.9956896551724138,0.9007936507936508,0.9979716024340772,0.9095580678314492,0.8471177944862155,263203,41230,32266
10,50,2200,0.0,0.9827586206896552,0.8888888888888888,0.9878296146044624,0.8057553956834532,0.6716791979949874,229781,37978,29992
10,50,2000,0.0,0.9892241379310344,0.8948412698412699,0.9939148073022313,0.8376156217882836,0.7268170426065163,237642,38812,30548
10,50,1200,0.0,0.9978448275862069,0.9027777777777778,0.9979716024340772,0.9301130524152108,0.87468671679198,272322,41923,32846
10,50,1000,0.0,0.9978448275862069,0.9027777777777778,0.9979716024340772,0.9527235354573484,0.9097744360902256,280944,42516,33393
10,100,1000,0.0,0.9956896551724138,0.9007936507936508,0.995943204868154,0.9075025693730728,0.8395989974937343,269782,41763,32790
10,100,2200,0.0,0.980603448275862,0.8869047619047619,0.9858012170385396,0.7852004110996916,0.6416040100250626,224276,37581,29737
10,100,1200,0.0,0.9956896551724138,0.9007936507936508,0.995943204868154,0.8890030832476875,0.8095238095238095,262479,41236,32335
10,100,1800,0.0,0.9892241379310344,0.8948412698412699,0.9939148073022313,0.8345323741007195,0.7192982456140351,239040,39127,30796
10,100,2000,0.0,0.9870689655172412,0.8928571428571429,0.9918864097363084,0.8119218910585817,0.6892230576441103,231509,38375,30265
10,100,1600,0.0,0.9913793103448276,0.8968253968253969,0.9939148073022313,0.8540596094552929,0.7518796992481203,246855,39874,31300
10,100,800,0.0,0.9956896551724138,0.9007936507936508,0.995943204868154,0.920863309352518,0.8696741854636592,276487,42217,33149
10,100,1400,0.0,0.9935344827586208,0.8988095238095238,0.995943204868154,0.8715313463514902,0.7844611528822055,254551,40612,31853
10,150,1400,0.0,0.9849137931034484,0.8908730158730159,0.9837728194726166,0.8129496402877698,0.681704260651629,238727,39415,31043
10,150,1200,0.0,0.9870689655172412,0.8928571428571429,0.9837728194726166,0.8252826310380267,0.6942355889724311,245107,39944,31428
10,150,800,0.0,0.9870689655172412,0.8928571428571429,0.9837728194726166,0.841726618705036,0.7192982456140351,255213,40676,32011
10,150,1000,0.0,0.9870689655172412,0.8928571428571429,0.9837728194726166,0.8365878725590956,0.7092731829573935,250720,40364,31786
10,150,2200,0.0,0.9719827586206896,0.878968253968254,0.9756592292089248,0.7440904419321686,0.5739348370927319,212737,36687,29151
10,150,1800,0.0,0.980603448275862,0.8869047619047619,0.9837728194726166,0.7800616649537513,0.6290726817042607,225580,38093,30123
10,150,2000,0.0,0.978448275862069,0.8849206349206349,0.9817444219066938,0.7656731757451182,0.6115288220551378,219100,37424,29639
10,150,1600,0.0,0.9827586206896552,0.8888888888888888,0.9837728194726166,0.7975334018499486,0.656641604010025,232297,38757,30563
10,200,800,0.0,0.9741379310344828,0.878968253968254,0.9716024340770792,0.7595066803699897,0.5639097744360902,228060,38580,30544
10,200,1800,0.0,0.9719827586206896,0.876984126984127,0.9716024340770792,0.723535457348407,0.5288220551378446,207556,36593,29160
10,200,1600,0.0,0.9719827586206896,0.876984126984127,0.9716024340770792,0.736896197327852,0.543859649122807,212987,37169,29533
10,200,1400,0.0,0.9719827586206896,0.876984126984127,0.9716024340770792,0.7440904419321686,0.5538847117794486,217987,37715,29915
10,200,1200,0.0,0.9741379310344828,0.878968253968254,0.9716024340770792,0.7523124357656732,0.5588972431077694,222580,38133,30217
10,200,1000,0.0,0.9741379310344828,0.878968253968254,0.9716024340770792,0.7574511819116135,0.5614035087719298,226182,38424,30455
10,250,1200,0.0,0.9375,0.8432539682539683,0.9432048681541582,0.6639260020554985,0.4085213032581453,197579,35675,28677
10,250,1000,0.0,0.9375,0.8432539682539683,0.9432048681541582,0.6649537512846866,0.4085213032581453,199170,35806,28781
10,200,2200,0.0,0.9633620689655172,0.8690476190476191,0.9634888438133874,0.6937307297019527,0.4837092731829573,196750,35347,28297
10,250,800,0.0,0.9375,0.8432539682539683,0.9432048681541582,0.6649537512846866,0.4085213032581453,199279,35816,28792
10,200,2000,0.0,0.9698275862068966,0.875,0.969574036511156,0.710174717368962,0.5112781954887218,202154,36005,28727
10,250,1400,0.0,0.9375,0.8432539682539683,0.9432048681541582,0.6608427543679343,0.4085213032581453,194717,35404,28473
10,250,2200,0.0,0.9267241379310344,0.8353174603174603,0.9371196754563894,0.6238437821171634,0.3759398496240601,178288,33469,27174
10,250,2000,0.0,0.9331896551724138,0.8412698412698413,0.9411764705882352,0.6361767728674204,0.3884711779448621,182698,34041,27532
10,250,1800,0.0,0.9375,0.8432539682539683,0.9432048681541582,0.645426515930113,0.3984962406015037,187002,34536,27888
10,250,1600,0.0,0.9375,0.8432539682539683,0.9432048681541582,0.6546762589928058,0.4010025062656641,191094,34987,28190
10,300,800,0.0,0.9073275862068966,0.8174603174603174,0.9127789046653144,0.5817060637204522,0.3233082706766917,172791,32979,26786
10,300,1000,0.0,0.9073275862068966,0.8174603174603174,0.9127789046653144,0.5817060637204522,0.3233082706766917,172791,32979,26786
10,300,1200,0.0,0.9073275862068966,0.8174603174603174,0.9127789046653144,0.5817060637204522,0.3233082706766917,172696,32961,26778
10,300,1400,0.0,0.9073275862068966,0.8174603174603174,0.9127789046653144,0.5817060637204522,0.3233082706766917,171438,32808,26678
10,300,1600,0.0,0.9073275862068966,0.8174603174603174,0.9127789046653144,0.578622816032888,0.3208020050125313,169150,32529,26499
10,300,1800,0.0,0.9073275862068966,0.8174603174603174,0.9127789046653144,0.5714285714285714,0.3182957393483709,166240,32195,26272
10,300,2000,0.0,0.9030172413793104,0.8154761904761905,0.9107505070993914,0.566289825282631,0.3157894736842105,162988,31804,26006
10,300,2200,0.0,0.896551724137931,0.8095238095238095,0.9107505070993914,0.5560123329907503,0.3082706766917293,159554,31328,25721
10,50,1200,1.0,0.9978448275862069,0.9027777777777778,0.9979716024340772,0.9301130524152108,0.87468671679198,272319,41923,32846
10,50,2200,1.0,0.9827586206896552,0.8888888888888888,0.9878296146044624,0.8057553956834532,0.6716791979949874,229778,37978,29992
10,50,1000,1.0,0.9978448275862069,0.9027777777777778,0.9979716024340772,0.9527235354573484,0.9097744360902256,280941,42516,33393
10,50,2000,1.0,0.9892241379310344,0.8948412698412699,0.9939148073022313,0.8376156217882836,0.7268170426065163,237639,38812,30548
10,50,800,1.0,0.9978448275862069,0.9027777777777778,1.0,0.9701952723535456,0.949874686716792,289328,43072,33860
10,50,1800,1.0,0.9913793103448276,0.8968253968253969,0.995943204868154,0.8643371017471737,0.7669172932330827,245881,39613,31106
10,50,1400,1.0,0.9956896551724138,0.9007936507936508,0.9979716024340772,0.9095580678314492,0.8471177944862155,263200,41230,32266
10,50,1600,1.0,0.9935344827586208,0.8988095238095238,0.995943204868154,0.8869475847893115,0.8020050125313283,254563,40415,31659
10,100,1200,1.0,0.9956896551724138,0.9007936507936508,0.995943204868154,0.8890030832476875,0.8095238095238095,262476,41236,32335
10,100,1000,1.0,0.9956896551724138,0.9007936507936508,0.995943204868154,0.9075025693730728,0.8395989974937343,269779,41763,32790
10,100,800,1.0,0.9956896551724138,0.9007936507936508,0.995943204868154,0.920863309352518,0.8696741854636592,276484,42217,33149
10,100,2000,1.0,0.9870689655172412,0.8928571428571429,0.9918864097363084,0.8119218910585817,0.6892230576441103,231506,38375,30265
10,100,1800,1.0,0.9892241379310344,0.8948412698412699,0.9939148073022313,0.8345323741007195,0.7192982456140351,239037,39127,30796
10,100,1600,1.0,0.9913793103448276,0.8968253968253969,0.9939148073022313,0.8540596094552929,0.7518796992481203,246852,39874,31300
10,100,2200,1.0,0.980603448275862,0.8869047619047619,0.9858012170385396,0.7852004110996916,0.6416040100250626,224273,37581,29737
10,100,1400,1.0,0.9935344827586208,0.8988095238095238,0.995943204868154,0.8715313463514902,0.7844611528822055,254548,40612,31853
10,150,1000,1.0,0.9870689655172412,0.8928571428571429,0.9837728194726166,0.8365878725590956,0.7092731829573935,250717,40364,31786
10,150,800,1.0,0.9870689655172412,0.8928571428571429,0.9837728194726166,0.841726618705036,0.7192982456140351,255210,40676,32011
10,150,1800,1.0,0.980603448275862,0.8869047619047619,0.9837728194726166,0.7800616649537513,0.6290726817042607,225577,38093,30123
10,150,1400,1.0,0.9849137931034484,0.8908730158730159,0.9837728194726166,0.8129496402877698,0.681704260651629,238724,39415,31043
10,150,1600,1.0,0.9827586206896552,0.8888888888888888,0.9837728194726166,0.7975334018499486,0.656641604010025,232294,38757,30563
10,150,2200,1.0,0.9719827586206896,0.878968253968254,0.9756592292089248,0.7440904419321686,0.5739348370927319,212734,36687,29151
10,150,2000,1.0,0.978448275862069,0.8849206349206349,0.9817444219066938,0.7656731757451182,0.6115288220551378,219097,37424,29639
10,150,1200,1.0,0.9870689655172412,0.8928571428571429,0.9837728194726166,0.8252826310380267,0.6942355889724311,245104,39944,31428
10,200,800,1.0,0.9741379310344828,0.878968253968254,0.9716024340770792,0.7595066803699897,0.5639097744360902,228057,38580,30544
10,200,1000,1.0,0.9741379310344828,0.878968253968254,0.9716024340770792,0.7574511819116135,0.5614035087719298,226179,38424,30455
10,200,1200,1.0,0.9741379310344828,0.878968253968254,0.9716024340770792,0.7523124357656732,0.5588972431077694,222577,38133,30217
10,200,2200,1.0,0.9633620689655172,0.8690476190476191,0.9634888438133874,0.6937307297019527,0.4837092731829573,196747,35347,28297
10,200,2000,1.0,0.9698275862068966,0.875,0.969574036511156,0.710174717368962,0.5112781954887218,202151,36005,28727
10,200,1600,1.0,0.9719827586206896,0.876984126984127,0.9716024340770792,0.736896197327852,0.543859649122807,212984,37169,29533
10,200,1400,1.0,0.9719827586206896,0.876984126984127,0.9716024340770792,0.7440904419321686,0.5538847117794486,217984,37715,29915
10,200,1800,1.0,0.9719827586206896,0.876984126984127,0.9716024340770792,0.723535457348407,0.5288220551378446,207553,36593,29160
10,250,1600,1.0,0.9375,0.8432539682539683,0.9432048681541582,0.6546762589928058,0.4010025062656641,191091,34987,28190
10,250,1400,1.0,0.9375,0.8432539682539683,0.9432048681541582,0.6608427543679343,0.4085213032581453,194714,35404,28473
10,250,800,1.0,0.9375,0.8432539682539683,0.9432048681541582,0.6649537512846866,0.4085213032581453,199276,35816,28792
10,250,1200,1.0,0.9375,0.8432539682539683,0.9432048681541582,0.6639260020554985,0.4085213032581453,197576,35675,28677
10,250,1000,1.0,0.9375,0.8432539682539683,0.9432048681541582,0.6649537512846866,0.4085213032581453,199167,35806,28781
10,250,2000,1.0,0.9331896551724138,0.8412698412698413,0.9411764705882352,0.6361767728674204,0.3884711779448621,182695,34041,27532
10,250,2200,1.0,0.9267241379310344,0.8353174603174603,0.9371196754563894,0.6238437821171634,0.3759398496240601,178285,33469,27174
10,250,1800,1.0,0.9375,0.8432539682539683,0.9432048681541582,0.645426515930113,0.3984962406015037,186999,34536,27888
10,300,1000,1.0,0.9073275862068966,0.8174603174603174,0.9127789046653144,0.5817060637204522,0.3233082706766917,172789,32979,26786
10,300,1200,1.0,0.9073275862068966,0.8174603174603174,0.9127789046653144,0.5817060637204522,0.3233082706766917,172694,32961,26778
10,300,1400,1.0,0.9073275862068966,0.8174603174603174,0.9127789046653144,0.5817060637204522,0.3233082706766917,171436,32808,26678
10,300,2000,1.0,0.9030172413793104,0.8154761904761905,0.9107505070993914,0.566289825282631,0.3157894736842105,162986,31804,26006
10,300,2200,1.0,0.896551724137931,0.8095238095238095,0.9107505070993914,0.5560123329907503,0.3082706766917293,159552,31328,25721
10,300,1800,1.0,0.9073275862068966,0.8174603174603174,0.9127789046653144,0.5714285714285714,0.3182957393483709,166238,32195,26272
10,300,1600,1.0,0.9073275862068966,0.8174603174603174,0.9127789046653144,0.578622816032888,0.3208020050125313,169148,32529,26499
10,300,800,1.0,0.9073275862068966,0.8174603174603174,0.9127789046653144,0.5817060637204522,0.3233082706766917,172789,32979,26786
10,50,2000,2.0,0.9892241379310344,0.8948412698412699,0.9939148073022313,0.8376156217882836,0.7268170426065163,237631,38812,30548
10,50,1400,2.0,0.9956896551724138,0.9007936507936508,0.9979716024340772,0.9095580678314492,0.8471177944862155,263192,41230,32266
10,50,800,2.0,0.9978448275862069,0.9027777777777778,1.0,0.9701952723535456,0.949874686716792,289319,43072,33860
10,50,2200,2.0,0.9827586206896552,0.8888888888888888,0.9878296146044624,0.8057553956834532,0.6716791979949874,229770,37978,29992
10,50,1600,2.0,0.9935344827586208,0.8988095238095238,0.995943204868154,0.8869475847893115,0.8020050125313283,254555,40415,31659
10,50,1000,2.0,0.9978448275862069,0.9027777777777778,0.9979716024340772,0.9527235354573484,0.9097744360902256,280933,42516,33393
10,50,1200,2.0,0.9978448275862069,0.9027777777777778,0.9979716024340772,0.9301130524152108,0.87468671679198,272311,41923,32846
10,50,1800,2.0,0.9913793103448276,0.8968253968253969,0.995943204868154,0.8643371017471737,0.7669172932330827,245873,39613,31106
10,100,1800,2.0,0.9892241379310344,0.8948412698412699,0.9939148073022313,0.8345323741007195,0.7192982456140351,239029,39127,30796
10,100,800,2.0,0.9956896551724138,0.9007936507936508,0.995943204868154,0.920863309352518,0.8696741854636592,276476,42217,33149
10,100,2000,2.0,0.9870689655172412,0.8928571428571429,0.9918864097363084,0.8119218910585817,0.6892230576441103,231498,38375,30265
10,100,1200,2.0,0.9956896551724138,0.9007936507936508,0.995943204868154,0.8890030832476875,0.8095238095238095,262468,41236,32335
10,100,1600,2.0,0.9913793103448276,0.8968253968253969,0.9939148073022313,0.8540596094552929,0.7518796992481203,246844,39874,31300
10,100,2200,2.0,0.980603448275862,0.8869047619047619,0.9858012170385396,0.7852004110996916,0.6416040100250626,224265,37581,29737
10,100,1400,2.0,0.9935344827586208,0.8988095238095238,0.995943204868154,0.8715313463514902,0.7844611528822055,254540,40612,31853
10,100,1000,2.0,0.9956896551724138,0.9007936507936508,0.995943204868154,0.9075025693730728,0.8395989974937343,269771,41763,32790
10,150,800,2.0,0.9870689655172412,0.8928571428571429,0.9837728194726166,0.841726618705036,0.7192982456140351,255203,40676,32011
10,150,1200,2.0,0.9870689655172412,0.8928571428571429,0.9837728194726166,0.8252826310380267,0.6942355889724311,245097,39944,31428
10,150,1000,2.0,0.9870689655172412,0.8928571428571429,0.9837728194726166,0.8365878725590956,0.7092731829573935,250710,40364,31786
10,150,1600,2.0,0.9827586206896552,0.8888888888888888,0.9837728194726166,0.7975334018499486,0.656641604010025,232287,38757,30563
10,150,1400,2.0,0.9849137931034484,0.8908730158730159,0.9837728194726166,0.8129496402877698,0.681704260651629,238717,39415,31043
10,150,1800,2.0,0.980603448275862,0.8869047619047619,0.9837728194726166,0.7800616649537513,0.6290726817042607,225570,38093,30123
10,150,2000,2.0,0.978448275862069,0.8849206349206349,0.9817444219066938,0.7656731757451182,0.6115288220551378,219090,37424,29639
10,150,2200,2.0,0.9719827586206896,0.878968253968254,0.9756592292089248,0.7440904419321686,0.5739348370927319,212727,36687,29151
10,200,800,2.0,0.9741379310344828,0.878968253968254,0.9716024340770792,0.7595066803699897,0.5639097744360902,228050,38580,30544
10,200,1000,2.0,0.9741379310344828,0.878968253968254,0.9716024340770792,0.7574511819116135,0.5614035087719298,226172,38424,30455
10,200,1200,2.0,0.9741379310344828,0.878968253968254,0.9716024340770792,0.7523124357656732,0.5588972431077694,222570,38133,30217
10,200,1600,2.0,0.9719827586206896,0.876984126984127,0.9716024340770792,0.736896197327852,0.543859649122807,212977,37169,29533
10,200,1400,2.0,0.9719827586206896,0.876984126984127,0.9716024340770792,0.7440904419321686,0.5538847117794486,217977,37715,29915
10,200,2200,2.0,0.9633620689655172,0.8690476190476191,0.9634888438133874,0.6937307297019527,0.4837092731829573,196740,35347,28297
10,250,800,2.0,0.9375,0.8432539682539683,0.9432048681541582,0.6649537512846866,0.4085213032581453,199269,35816,28792
10,250,1000,2.0,0.9375,0.8432539682539683,0.9432048681541582,0.6649537512846866,0.4085213032581453,199160,35806,28781
10,200,2000,2.0,0.9698275862068966,0.875,0.969574036511156,0.710174717368962,0.5112781954887218,202144,36005,28727
10,200,1800,2.0,0.9719827586206896,0.876984126984127,0.9716024340770792,0.723535457348407,0.5288220551378446,207546,36593,29160
10,250,2000,2.0,0.9331896551724138,0.8412698412698413,0.9411764705882352,0.6361767728674204,0.3884711779448621,182688,34041,27532
10,250,2200,2.0,0.9267241379310344,0.8353174603174603,0.9371196754563894,0.6238437821171634,0.3759398496240601,178278,33469,27174
10,250,1600,2.0,0.9375,0.8432539682539683,0.9432048681541582,0.6546762589928058,0.4010025062656641,191084,34987,28190
10,250,1400,2.0,0.9375,0.8432539682539683,0.9432048681541582,0.6608427543679343,0.4085213032581453,194707,35404,28473
10,250,1800,2.0,0.9375,0.8432539682539683,0.9432048681541582,0.645426515930113,0.3984962406015037,186992,34536,27888
10,300,800,2.0,0.9073275862068966,0.8174603174603174,0.9127789046653144,0.5817060637204522,0.3233082706766917,172785,32979,26786
10,300,1000,2.0,0.9073275862068966,0.8174603174603174,0.9127789046653144,0.5817060637204522,0.3233082706766917,172785,32979,26786
10,250,1200,2.0,0.9375,0.8432539682539683,0.9432048681541582,0.6639260020554985,0.4085213032581453,197569,35675,28677
10,300,1200,2.0,0.9073275862068966,0.8174603174603174,0.9127789046653144,0.5817060637204522,0.3233082706766917,172690,32961,26778
10,300,1400,2.0,0.9073275862068966,0.8174603174603174,0.9127789046653144,0.5817060637204522,0.3233082706766917,171432,32808,26678
10,300,2000,2.0,0.9030172413793104,0.8154761904761905,0.9107505070993914,0.566289825282631,0.3157894736842105,162982,31804,26006
10,300,2200,2.0,0.896551724137931,0.8095238095238095,0.9107505070993914,0.5560123329907503,0.3082706766917293,159548,31328,25721
10,300,1600,2.0,0.9073275862068966,0.8174603174603174,0.9127789046653144,0.578622816032888,0.3208020050125313,169144,32529,26499
10,300,1800,2.0,0.9073275862068966,0.8174603174603174,0.9127789046653144,0.5714285714285714,0.3182957393483709,166234,32195,26272
10,50,1800,3.0,0.9913793103448276,0.8968253968253969,0.995943204868154,0.8643371017471737,0.7669172932330827,245861,39611,31105
10,50,2000,3.0,0.9892241379310344,0.8948412698412699,0.9939148073022313,0.8376156217882836,0.7268170426065163,237619,38810,30547
10,50,1000,3.0,0.9978448275862069,0.9027777777777778,0.9979716024340772,0.9527235354573484,0.9097744360902256,280921,42514,33392
10,50,2200,3.0,0.9827586206896552,0.8888888888888888,0.9878296146044624,0.8057553956834532,0.6716791979949874,229758,37976,29991
10,50,1400,3.0,0.9956896551724138,0.9007936507936508,0.9979716024340772,0.9095580678314492,0.8471177944862155,263180,41228,32265
10,50,800,3.0,0.9978448275862069,0.9027777777777778,1.0,0.9701952723535456,0.949874686716792,289307,43070,33859
10,50,1600,3.0,0.9935344827586208,0.8988095238095238,0.995943204868154,0.8869475847893115,0.8020050125313283,254543,40413,31658
10,50,1200,3.0,0.9978448275862069,0.9027777777777778,0.9979716024340772,0.9301130524152108,0.87468671679198,272299,41921,32845
10,100,1400,3.0,0.9935344827586208,0.8988095238095238,0.995943204868154,0.8715313463514902,0.7844611528822055,254528,40610,31852
10,100,2000,3.0,0.9870689655172412,0.8928571428571429,0.9918864097363084,0.8119218910585817,0.6892230576441103,231486,38373,30264
10,100,1200,3.0,0.9956896551724138,0.9007936507936508,0.995943204868154,0.8890030832476875,0.8095238095238095,262456,41234,32334
10,100,1600,3.0,0.9913793103448276,0.8968253968253969,0.9939148073022313,0.8540596094552929,0.7518796992481203,246832,39872,31299
10,100,2200,3.0,0.980603448275862,0.8869047619047619,0.9858012170385396,0.7852004110996916,0.6416040100250626,224253,37579,29736
10,100,1000,3.0,0.9956896551724138,0.9007936507936508,0.995943204868154,0.9075025693730728,0.8395989974937343,269759,41761,32789
10,100,1800,3.0,0.9892241379310344,0.8948412698412699,0.9939148073022313,0.8345323741007195,0.7192982456140351,239017,39125,30795
